1240029,2025-06-01,0,0,7
1240029,2025-06-02,0,0,7
1240029,2025-06-03,0,0,7
1240029,2025-06-04,0,0,7
1240029,2025-06-05,1.2,1.2,7
1240029,2025-06-06,0,0,7
1240029,2025-06-07,0,0,7
1240029,2025-06-08,0,0,7
1240029,2025-06-09,0,0,7
1240029,2025-06-10,0,0,7
1240030,2025-06-01,1.2,0,7
1240030,2025-06-02,0,0,7
1240030,2025-06-03,0,0,7
1240030,2025-06-04,0,0,7
1240030,2025-06-05,20.2,0,7
1240030,2025-06-06,0,0,7
1240030,2025-06-07,0,0,7
1240030,2025-06-08,0,0,7
1240030,2025-06-09,0,0,7
1240030,2025-06-10,0,0,7
1240031,2025-06-01,0,0,7
1240031,2025-06-02,0,0,7
1240031,2025-06-03,0,0,7
1240031,2025-06-04,0,0.2,7
1240031,2025-06-05,12,11.4,7
1240031,2025-06-06,0,0,7
1240031,2025-06-07,0,0,7
1240031,2025-06-08,0.4,0.4,7
1240031,2025-06-09,1.6,1.6,7
1240031,2025-06-10,0,0.2,7
1240033,2025-06-01,0.2,0,7
1240033,2025-06-02,0,0,7
1240033,2025-06-03,7.4,0,7
1240033,2025-06-04,0,0,7
1240033,2025-06-05,10,0,7
1240033,2025-06-06,11.4,0,7
1240033,2025-06-07,6.2,0,7
1240033,2025-06-08,0,0,7
1240033,2025-06-09,0.2,0,7
1240033,2025-06-10,0,0,7
1240034,2025-06-01,0,0,7
1240034,2025-06-02,0,0,7
1240034,2025-06-03,0,0,7
1240034,2025-06-04,0,0,7
1240034,2025-06-05,0,0,7
1240034,2025-06-06,0,0,7
1240034,2025-06-07,0,0,7
1240034,2025-06-08,0,0,7
1240034,2025-06-09,0,0,7
1240034,2025-06-10,0,0,7
1240035,2025-06-01,0,0,7
1240035,2025-06-02,0,0,7
1240035,2025-06-03,0,0,7
1240035,2025-06-04,0,0,7
1240035,2025-06-05,0,0,7
1240035,2025-06-06,0,0,7
1240035,2025-06-07,0,0,7
1240035,2025-06-08,0,0,7
1240035,2025-06-09,0,0,7
1240035,2025-06-10,0,0,7
1240036,2025-06-01,0,0,7
1240036,2025-06-02,0,0,7
1240036,2025-06-03,0,0,7
1240036,2025-06-04,0,0,7
1240036,2025-06-05,0,0,7
1240036,2025-06-06,0,0,7
1240036,2025-06-07,0,0,7
1240036,2025-06-08,0,0,7
1240036,2025-06-09,0,0,7
1240036,2025-06-10,0,0,7
1240037,2025-06-01,0,0,7
1240037,2025-06-02,0,0,7
1240037,2025-06-03,0,0,7
1240037,2025-06-04,0,0,7
1240037,2025-06-05,0,0,7
1240037,2025-06-06,0,0,7
1240037,2025-06-07,0,0,7
1240037,2025-06-08,0,0,7
1240037,2025-06-09,0,0,7
1240037,2025-06-10,0,0,7
1240039,2025-06-01,0,0,7
1240039,2025-06-02,0,0,7
1240039,2025-06-03,0,0,7
1240039,2025-06-04,0,0,7
1240039,2025-06-05,0,0,7
1240039,2025-06-06,0,0,7
1240039,2025-06-07,0,0,7
1240039,2025-06-08,0,0,7
1240039,2025-06-09,0,0,7
1240039,2025-06-10,0,0,7
1240040,2025-06-01,0,0,7
1240040,2025-06-02,0,0,7
1240040,2025-06-03,0,0,7
1240040,2025-06-04,7.2,6,7
1240040,2025-06-05,0,0,7
1240040,2025-06-06,0.4,0.4,7
1240040,2025-06-07,0,0,7
1240040,2025-06-08,0,0,7
1240040,2025-06-09,0,0,7
1240040,2025-06-10,0,0,7
1240041,2025-06-01,0,0,7
1240041,2025-06-02,0,0,7
1240041,2025-06-03,0.2,0.2,7
1240041,2025-06-04,0,0,7
1240041,2025-06-05,0,0,7
1240041,2025-06-06,0,0,7
1240041,2025-06-07,0,0,7
1240041,2025-06-08,0,0,7
1240041,2025-06-09,0,0,7
1240041,2025-06-10,0,0,7
1240042,2025-06-01,0,0,7
1240042,2025-06-02,0.2,0,7
1240042,2025-06-03,0,0,7
1240042,2025-06-04,0,0,7
1240042,2025-06-05,0,0,7
1240042,2025-06-06,0,0,7
1240042,2025-06-07,0,0,7
1240042,2025-06-08,0,0,7
1240042,2025-06-09,0.2,0,7
1240042,2025-06-10,0,0,7
1240043,2025-06-01,0,0,7
1240043,2025-06-02,0,0,7
1240043,2025-06-03,0,0,7
1240043,2025-06-04,0,0,7
1240043,2025-06-05,16.6,14.6,7
1240043,2025-06-06,8.6,7.4,7
1240043,2025-06-07,0,0.4,7
1240043,2025-06-08,0,0,7
1240043,2025-06-09,0,0.2,7
1240043,2025-06-10,0,0.2,7
1240044,2025-06-01,0,0,7
1240044,2025-06-02,0,0.2,7
1240044,2025-06-03,0,0,7
1240044,2025-06-04,0,0,7
1240044,2025-06-05,0.2,0,7
1240044,2025-06-06,0,0,7
1240044,2025-06-07,0,0,7
1240044,2025-06-08,0,0,7
1240044,2025-06-09,0,0,7
1240044,2025-06-10,0,0,7
1240045,2025-06-01,0,0.2,7
1240045,2025-06-02,0,0,7
1240045,2025-06-03,0,0,7
1240045,2025-06-04,3,3,7
1240045,2025-06-05,0.6,3.8,7
1240045,2025-06-06,0,0.4,7
1240045,2025-06-07,0.2,11.2,7
1240045,2025-06-08,0,2,7
1240045,2025-06-09,0,1.2,7
1240045,2025-06-10,0,1.8,7
1240046,2025-06-01,0.2,0.2,7
1240046,2025-06-02,0,0,7
1240046,2025-06-03,0,0,7
1240046,2025-06-04,9.4,7.6,7
1240046,2025-06-05,12.8,12,7
1240046,2025-06-06,0.6,0.4,7
1240046,2025-06-07,2,1.4,7
1240046,2025-06-08,3.4,3,7
1240046,2025-06-09,1.6,1.2,7
1240046,2025-06-10,1.6,1.2,7
1240047,2025-06-01,0,4.6,7
1240047,2025-06-02,0,0.2,7
1240047,2025-06-03,0,1.4,7
1240047,2025-06-04,0,10,7
1240047,2025-06-05,0,7.4,7
1240047,2025-06-06,0,0,7
1240047,2025-06-07,0,7,7
1240047,2025-06-08,0,5.8,7
1240047,2025-06-09,0,42.6,7
1240047,2025-06-10,0,0.8,7
1240049,2025-06-01,1,0,7
1240049,2025-06-02,0,0,7
1240049,2025-06-03,1,0,7
1240049,2025-06-04,6.4,0,7
1240049,2025-06-05,3.4,0,7
1240049,2025-06-06,9.8,0,7
1240049,2025-06-07,20.6,0,7
1240049,2025-06-08,24.2,0,7
1240049,2025-06-09,39.4,0,7
1240049,2025-06-10,0.2,0,7
1240050,2025-06-01,0,0,7
1240050,2025-06-02,0,0,7
1240050,2025-06-03,0,0,7
1240050,2025-06-04,0,0,7
